REGION,YEAR,WEEK,ILITOTAL
Region 5,1999,42,170
Region 6,1999,42,44
Region 7,1999,42,56
Region 8,1999,42,66
Region 9,1999,42,233
Region 10,1999,42,18
Region 1,1999,43,40
Region 2,1999,43,11
Region 3,1999,43,56
Region 4,1999,43,287
Region 5,1999,43,194
Region 6,1999,43,44
Region 7,1999,43,79
Region 8,1999,43,104
Region 9,1999,43,264
Region 10,1999,43,10
Region 1,1999,44,95
Region 2,1999,44,23
Region 3,1999,44,80
Region 4,1999,44,432
Region 5,1999,44,189
Region 6,1999,44,123
Region 7,1999,44,99
Region 8,1999,44,92
Region 9,1999,44,427
Region 10,1999,44,10
Region 1,1999,45,69
Region 2,1999,45,30
Region 3,1999,45,77
Region 4,1999,45,405
Region 5,1999,45,250
Region 6,1999,45,114
Region 7,1999,45,92
Region 8,1999,45,82
Region 9,1999,45,437
Region 10,1999,45,14
Region 1,1999,46,78
Region 2,1999,46,16
Region 3,1999,46,82
Region 4,1999,46,457
Region 5,1999,46,268
Region 6,1999,46,148
Region 7,1999,46,72
Region 8,1999,46,161
Region 9,1999,46,401
Region 10,1999,46,18
Region 1,1999,47,86
Region 2,1999,47,30
Region 3,1999,47,47
Region 4,1999,47,375
Region 5,1999,47,291
Region 6,1999,47,211
Region 7,1999,47,52
Region 8,1999,47,122
Region 9,1999,47,603
Region 10,1999,47,16
Region 1,1999,48,136
Region 2,1999,48,28
Region 3,1999,48,78
Region 4,1999,48,451
Region 5,1999,48,445
Region 6,1999,48,367
Region 7,1999,48,149
Region 8,1999,48,227
Region 9,1999,48,575
Region 10,1999,48,28
Region 1,1999,49,166
Region 2,1999,49,71
Region 3,1999,49,93
Region 4,1999,49,555
Region 5,1999,49,545
Region 6,1999,49,369
Region 7,1999,49,182
Region 8,1999,49,481
Region 9,1999,49,763
Region 10,1999,49,39
Region 1,1999,50,224
Region 2,1999,50,63
Region 3,1999,50,130
Region 4,1999,50,639
Region 5,1999,50,1097
Region 6,1999,50,401
Region 7,1999,50,346
Region 8,1999,50,523
